wifi_ratio,satellite_ratio,wifi_per_class,satellite_per_class,total_samples,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
0.1,0.9,20,180,1000,0.8869999999999999,0.012489995996796807,0.887593460585568,0.012193532375166554
0.2,0.8,40,160,1000,0.8240000000000001,0.015620499351813295,0.8251899888310581,0.01595447543105592
0.3,0.7,60,140,1000,0.7739999999999999,0.01827566688249708,0.7745456904647346,0.017704839997920056
0.4,0.6,80,120,1000,0.6990000000000001,0.032771939216347856,0.6989828450360175,0.032481922497418644
0.5,0.5,100,100,1000,0.6869999999999999,0.012884098726725086,0.6885757440291668,0.013741381609095443
0.6,0.4,120,80,1000,0.644,0.018547236990991426,0.6400158915451277,0.016297464452913798
0.7,0.30000000000000004,140,60,1000,0.5970000000000001,0.0310805405358401,0.5939826976098201,0.02807410992959265
0.8,0.19999999999999996,160,40,1000,0.5609999999999999,0.030232432915661925,0.5593137891254026,0.029291053975130238
0.9,0.09999999999999998,180,20,1000,0.5429999999999999,0.03655133376499413,0.5375939223807119,0.04120338766561636
